term
(high-dose cytarabine/filgrastim/fludarabine/gemtuzumab ozogamicin/idarubicin regimen
bortezomib-cyclophosphamide-daratumumab-dexamethasone regimen
bortezomib-cyclophosphamide-doxorubicin-prednisone-rituximab regimen
bortezomib-daratumumab and hyaluronidase-dexamethasone regimen
bortezomib-daratumumab and hyaluronidase-dexamethasone-lenalidomide regimen
bortezomib-daratumumab-dexamethasone-lenalidomide regimen
bortezomib-daratumumab-dexamethasone-thalidomide regimen
bortezomib-daratumumab-melphalan-prednisone regimen
bortezomib-dexamethasone regimen
bortezomib-dexamethasone-melphalan regimen
bortezomib-dexamethasone-selinexor regimen
bortezomib-drc regimen
bortezomib-lenalidomide regimen
bortezomib-liposomal doxorubicin regimen
bortezomib-rituximab regimen
bortezomib-thalidomide-dexamethasone-cisplatin-doxorubicin-cyclophosphamide-etoposide regimen
bortezomib/cyclophosphamide/daratumumab and hyaluronidase /dexamethasone regimen
bortezomib/cyclophosphamide/daratumumab and hyaluronidase-fihj/dexamethasone regimen
bortezomib/cyclophosphamide/daratumumab/dexamethasone regimen
bortezomib/cyclophosphamide/dexamethasone plus daratumumab and hyaluronidase regimen
bortezomib/cyclophosphamide/dexamethasone plus daratumumab regimen
bortezomib/cyclophosphamide/dexamethasone plus daratumumab/hyaluronidase regimen
bortezomib/cyclophosphamide/dexamethasone regimen
bortezomib/cyclophosphamide/dexamethasone-daratumumab/hyaluronidase regimen
bortezomib/cyclophosphamide/dexamethasone/rituximab regimen
bortezomib/cyclophosphamide/doxorubicin/prednisone/rituximab regimen
bortezomib/daratumumab and hyaluronidase-fihj/dexamethasone regimen
bortezomib/daratumumab and hyaluronidase-fihj/dexamethasone/lenalidomide regimen
bortezomib/daratumumab and hyaluronidase/dexamethasone regimen
bortezomib/daratumumab and hyaluronidase/dexamethasone/lenalidomide regimen
bortezomib/daratumumab/dexamethasone/lenalidomide regimen
bortezomib/daratumumab/dexamethasone/thalidomide regimen
bortezomib/daratumumab/melphalan/prednisone regimen
bortezomib/dexamethasone plus daratumumab and hyaluronidase regimen
bortezomib/dexamethasone regimen
bortezomib/dexamethasone/cyclophosphamide/etoposide/cisplatin regimen
bortezomib/dexamethasone/cyclophosphamide/etoposide/platinol regimen
bortezomib/dexamethasone/isatuximab/lenalidomide regimen
bortezomib/dexamethasone/lenalidomide plus daratumumab and hyaluronidase regimen
bortezomib/dexamethasone/lenalidomide regimen
bortezomib/dexamethasone/melphalan regimen
bortezomib/dexamethasone/panobinostat regimen
bortezomib/dexamethasone/pegylated liposomal doxorubicin regimen
bortezomib/dexamethasone/rituximab regimen
bortezomib/dexamethasone/selinexor regimen
